cellId,zone,zoneName,title,colour,label,place
95-198,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-199,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
95-200,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-201,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-202,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-203,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-204,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-205,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-206,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-207,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-208,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-209,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
95-210,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-211,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-212,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
95-213,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-214,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-215,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-216,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-217,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-218,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
95-219,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-220,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-221,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-222,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-223,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-224,95,Pokekehekepi,Pokekehekepi korgi,,,Pokekehekepi korgi
95-225,95,Pokekehekepi,Pokekehekepi korgi,#00FF00,,Pokekehekepi korgi
998-25,998,Transports,"Gondola, Cab North",,,Cab North
998-26,998,Transports,"Gondola, Cab South",,,Cab South
998-27,998,Transports,"Obsidian Pass, Platform",,,Platform
998-37,998,Transports,"Obsidian Pass, Platform",,,Platform
998-38,998,Transports,"Gondola, Cab North",,,Cab North
998-39,998,Transports,"Gondola, Cab South",,,Cab South
999-1,999,Microcosm,"Astral Plane, Pillar of Nightmares",,Rolagi,Pillar of Nightmares
999-2,999,Microcosm,"Astral Plane, Pillar of Tradition",,Auilusi,Pillar of Tradition
999-3,999,Microcosm,"Astral Plane, Pillar of Secrets",,Marendin,Pillar of Secrets
999-4,999,Microcosm,"Astral Plane, Pillar of Unity",,,Pillar of Unity
999-5,999,Microcosm,"Astral Plane, Pillar of the Shrew",,Emalerje,Pillar of the Shrew
999-6,999,Microcosm,"Astral Plane, Pillar of the Heavens",,Asharshpar'i,Pillar of the Heavens
999-7,999,Microcosm,"Astral Plane, Pillar of Introspection",,Dinegavren,Pillar of Introspection
999-8,999,Microcosm,"Astral Plane, Pillar of Fortune",,Erekinzil,Pillar of Fortune
999-9,999,Microcosm,"Astral Plane, Broken Pillar",,,Broken Pillar
999-10,999,Microcosm,"Astral Plane, Pillar of Convergence",,,Pillar of Convergence
999-22,999,Microcosm,"Astral Plane, Dinegavren Conduit",,,Dinegavren Conduit
999-24,999,Microcosm,"Astral Plane, Erekinzil Conduit",,,Erekinzil Conduit
999-25,999,Microcosm,"Astral Plane, Marendin Conduit",,,Marendin Conduit
999-26,999,Microcosm,"Astral Plane, Emalerje Conduit",,,Emalerje Conduit
999-27,999,Microcosm,"Astral Plane, Mintais Conduit",,,Mintais Conduit
999-28,999,Microcosm,"Astral Plane, Dor'na'torna Conduit",,,Dor'na'torna Conduit
